0;1;2;3;sum
10.0;10.0;10.0;10.0;50.0
9.71;9.41;9.13;10.0;66.96
8.38;8.11;7.13;6.47;63.06
7.29;6.0;7.13;7.83;46.79
10.0;7.3;9.33;9.47;67.61
10.0;10.0;10.0;10.0;68.26
0.0;0.0;0.0;0.0;0.0
2.38;0.0;0.0;0.0;2.38
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;78.87
10.0;9.07;8.4;10.0;74.31
10.0;10.0;10.0;10.0;69.4
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
6.38;7.7;6.88;6.8;54.56
6.86;10.0;8.96;7.33;67.03
6.19;9.52;6.79;10.0;66.74
10.0;9.04;9.17;8.13;67.05
0.0;0.0;0.0;0.0;0.0
8.57;8.8;6.79;9.8;42.09
6.9;9.35;9.08;8.63;68.58
3.33;4.39;4.35;0.0;12.07
8.33;8.89;6.31;9.8;57.78
0.0;0.0;0.0;0.0;0.0
10.0;10.0;8.58;10.0;66.69
10.0;10.0;10.0;10.0;69.06
10.0;10.0;10.0;10.0;73.77
7.14;8.89;10.0;9.67;66.89
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
8.57;9.46;8.4;10.0;60.3
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;9.15;8.54;8.63;60.41
9.71;10.0;10.0;9.47;77.2
9.71;0.0;0.0;0.0;9.71
8.05;5.56;8.13;7.8;54.1
9.52;9.56;8.83;9.47;46.67
6.76;8.28;6.88;7.63;58.78
9.29;6.48;7.94;6.97;51.93
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;10.0;8.75;9.63;76.13
10.0;8.26;10.0;9.83;74.99
9.29;8.15;8.75;9.27;66.25
8.29;0.0;0.0;0.0;8.29
7.86;7.52;8.4;9.67;58.71
8.29;10.0;8.13;0.0;26.42
8.57;7.8;9.08;9.8;70.31
8.76;10.0;7.83;10.0;68.19
9.43;10.0;10.0;10.0;57.2
10.0;10.0;9.33;10.0;64.65
8.81;7.3;8.21;9.1;63.3
7.71;8.72;7.04;9.8;62.32
10.0;10.0;8.83;10.0;72.99
10.0;10.0;9.44;10.0;66.45
10.0;7.22;8.58;9.63;68.6
0.0;0.0;0.0;0.0;0.0
9.24;8.56;6.35;8.13;44.26
9.52;8.0;9.33;9.83;70.14
10.0;8.52;10.0;6.8;69.04
8.43;8.72;8.96;10.0;67.61
8.1;9.3;7.13;10.0;53.54
9.52;7.91;9.27;9.0;69.83
9.14;8.54;8.21;9.0;63.53
8.57;8.67;9.33;8.3;69.9
10.0;10.0;10.0;0.0;50.0
9.29;9.15;9.25;9.83;66.26
10.0;6.83;0.0;0.0;16.83
10.0;6.81;8.75;9.47;59.4
8.1;9.19;7.63;9.67;65.25
10.0;0.0;0.0;0.0;10.0
10.0;10.0;9.75;10.0;75.2
9.05;10.0;8.29;8.63;61.31
10.0;6.3;7.46;8.0;56.37
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;10.0;8.33;10.0;73.78
8.57;7.43;7.6;0.0;23.6
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;77.74
0.0;0.0;0.0;0.0;0.0
8.81;8.07;8.83;8.5;61.96
8.29;10.0;8.38;10.0;71.98
5.86;10.0;10.0;9.67;61.2
9.29;8.11;8.67;0.0;26.07
10.0;6.61;8.83;8.83;60.51
9.14;9.63;8.21;9.8;59.92
9.71;9.63;9.17;0.0;44.75
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;76.47
9.52;9.07;10.0;9.0;72.51
10.0;10.0;10.0;10.0;68.57
0.0;0.0;0.0;0.0;0.0
9.29;4.93;0.0;0.0;14.22
10.0;10.0;10.0;10.0;79.8
9.52;10.0;10.0;10.0;71.34
4.67;4.43;4.35;4.8;42.5
10.0;10.0;8.75;0.0;45.82
0.0;0.0;0.0;0.0;0.0
7.62;10.0;9.0;10.0;62.85
8.1;8.8;7.42;9.47;46.98
10.0;9.41;9.5;9.63;73.81
0.0;0.0;3.81;0.0;3.81
10.0;10.0;8.92;8.6;54.65
10.0;10.0;8.75;8.63;63.64
0.0;0.0;0.0;0.0;0.0
10.0;8.31;8.54;9.83;62.63
0.0;0.0;0.0;0.0;0.0
9.05;8.78;0.0;10.0;58.77
10.0;7.44;7.96;6.47;51.14
3.52;4.06;5.15;0.0;12.73
7.62;6.43;8.46;9.8;65.51
10.0;10.0;10.0;10.0;77.89
9.52;9.63;7.83;10.0;67.34
8.38;8.09;8.65;9.47;64.84
5.48;10.0;5.9;8.47;48.15
8.24;9.41;6.46;9.0;63.59
10.0;9.78;9.25;9.47;70.05
0.0;0.0;0.0;0.0;0.0
2.62;5.52;3.42;7.63;35.11
0.0;0.0;0.0;0.0;0.0
10.0;9.41;10.0;10.0;76.98
8.05;8.28;8.96;9.47;66.23
0.0;0.0;0.0;0.0;0.0
8.57;10.0;7.25;0.0;34.39
10.0;9.41;9.33;9.63;75.76
0.0;0.0;0.0;0.0;0.0
8.33;7.31;8.96;8.3;55.03
7.1;9.22;9.58;9.0;59.13
10.0;9.26;8.54;10.0;76.54
0.0;0.0;0.0;0.0;0.0
8.05;10.0;5.63;10.0;58.09
10.0;10.0;10.0;10.0;80.0
10.0;10.0;0.0;0.0;20.0
10.0;10.0;8.33;8.67;69.6
9.05;9.63;7.4;9.27;65.16
8.57;8.69;7.33;9.47;66.32
7.86;6.93;8.83;9.63;57.41
7.86;8.76;8.75;9.63;60.79
10.0;9.15;10.0;10.0;57.61
0.0;0.0;0.0;0.0;0.0
10.0;8.89;8.83;9.33;75.48
